COMPANY,ADDRESS,LATITUDE,LONGITUDE,CO TPY,NOX TPY,Pb TPY,SO2 TPY,VOC TPY,PM10 TPY,PM2.5 TPY
CALPINE HIDALGO ENERGY CENTER LP,"CALPINE HIDALGO ENERGY CENTER LP,HIDALGO,TEXAS,USA",26.3428986,-98.176259,97.4352,325.9795,0.0,5.3773,10.5777,46.7406,43.9018
DESARROLLO DEL RANCHO LA GLORIA TX LP,"DESARROLLO DEL RANCHO LA GLORIA TX LP,HIDALGO,TEXAS,USA",26.283831,-98.3389866,0,0,0.0,0,15.5674,17.349,9.6622
REGAL-BELOIT CORPORATION,"REGAL-BELOIT CORPORATION,HIDALGO,TEXAS,USA",26.1003547,-98.2630684,186.9862,15.9283,0.0,0.1068,12.5743,2.3942,2.3294
SOUTH TEXAS ELECTRIC COOPERATIVE INC,"SOUTH TEXAS ELECTRIC COOPERATIVE INC,HIDALGO,TEXAS,USA",26.1003547,-98.2630684,2.0283,9.6587,0.0,0.0034,6.7708,3.1203,3.1202
ROSS GIN COMPANY LIMITED,"ROSS GIN COMPANY LIMITED,HIDALGO,TEXAS,USA",26.2301578,-97.8851165,0.26,0.31,0.0,0,0.02,5.23,0.37
ITASCA LANDFILL TX LP,"ITASCA LANDFILL TX LP,HILL,TEXAS,USA",32.1903038,-97.1103286,38.43,8.43,0.0,1.95,5.5017,13.41,6.293
OCCIDENTAL PERMIAN LTD,"OCCIDENTAL PERMIAN LTD,HOCKLEY,TEXAS,USA",30.026861,-95.8458562,296.1989,345.6098,0.0,0.2858,92.2753,9.4984,9.4984
BUSTERS GIN MANAGEMENT LLC,"BUSTERS GIN MANAGEMENT LLC,HOCKLEY,TEXAS,USA",33.4131507,-102.0926742,0.72,0.86,0.0,0.01,0.05,12.31,0.88
UNITED COTTON GROWERS COOPERATIVE,"UNITED COTTON GROWERS COOPERATIVE,HOCKLEY,TEXAS,USA",33.4931755,-102.2925643,1.65,1.96,0.0,0.01,0.11,18.77,1.35
LONG S GIN,"LONG S GIN,HOCKLEY,TEXAS,USA",33.688446,-102.5874633,0.74,0.89,0.0,0.01,0.05,8.68,0.59
OCCIDENTAL  PERMIAN LTD,"OCCIDENTAL  PERMIAN LTD,HOCKLEY,TEXAS,USA",30.026861,-95.8458562,93.1757,49.1185,0.0,0.9802,13.0658,4.1826,4.1826
CITIZENS-SHALLOWATER COOPERATIVE GIN,"CITIZENS-SHALLOWATER COOPERATIVE GIN,HOCKLEY,TEXAS,USA",33.68897280000001,-101.9982275,0.88,1.05,0.0,0.01,0.06,9.75,0.74
LUMINANT GENERATION COMPANY LLC,"LUMINANT GENERATION COMPANY LLC,HOOD,TEXAS,USA",32.4296296,-97.8286368,0.1907,106.1881,0.0,0.3087,2.0974,2.0067,2.0064
ENTERPRISE  PRODUCTS  OPERATING  LLC,"ENTERPRISE  PRODUCTS  OPERATING  LLC,HOOD,TEXAS,USA",32.3317349,-97.7435534,40.181,151.9435,0.0,1.294,1.599,2.512,2.512
WOLF HOLLOW I POWER LLC,"WOLF HOLLOW I POWER LLC,HOOD,TEXAS,USA",32.3339071,-97.7315318,33.7335,207.6978,0.0,4.7543,38.3774,45.4738,45.4538
COWTOWN GAS PROCESSING PARTNERS LP,"COWTOWN GAS PROCESSING PARTNERS LP,HOOD,TEXAS,USA",32.4296296,-97.8286368,74.3339,107.4709,0.0,3.071,79.96,8.851,8.851
ENLINK NORTH TEXAS GATHERING LP,"ENLINK NORTH TEXAS GATHERING LP,HOOD,TEXAS,USA",32.4296296,-97.8286368,0.3819,1.5633,0.0,0.0058,5.1536,0.1942,0.1942
BLUESTONE NATURAL RESOURCES II LLC,"BLUESTONE NATURAL RESOURCES II LLC,HOOD,TEXAS,USA",32.4296296,-97.8286368,3.254,0.548,0.0,0.01,18.3445,0.152,0.152
EMPIRE PIPELINE CORP,"EMPIRE PIPELINE CORP,HOOD,TEXAS,USA",32.5362415,-97.62564479999999,0.3258,1.6797,0.0,0.0126,10.8604,0.2118,0.2118
TEP BARNETT USA LLC,"TEP BARNETT USA LLC,HOOD,TEXAS,USA",32.4296296,-97.8286368,4.3929,1.5927,0.0,0.0101,10.2864,0.2415,0.2415
XTO ENERGY INC,"XTO ENERGY INC,HOOD,TEXAS,USA",32.4296296,-97.8286368,0,0,0.0,0,0,0,0
WOLF HOLLOW II POWER LLC,"WOLF HOLLOW II POWER LLC,HOOD,TEXAS,USA",32.3341384,-97.7341746,49.0957,91.2117,0.0,11.1134,21.638,77.5849,77.5847
NUCOR CORPORATION,"NUCOR CORPORATION,HOUSTON,TEXAS,USA",29.7604267,-95.3698028,0.8684,3.1324,0.0,0.0062,47.263,0.0969,0.0969
MIDCOAST G & P EAST TEXAS LP,"MIDCOAST G & P EAST TEXAS LP,HOUSTON,TEXAS,USA",29.6337815,-95.5632722,9.1419,34.4379,0.0,0.1253,4.2988,1.2316,0.95
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,HOUSTON,TEXAS,USA",29.7604267,-95.3698028,33.3645,74.3702,0.0,27.1482,18.8139,6.0794,6.0794
ALON USA LP,"ALON USA LP,HOWARD,TEXAS,USA",32.2875944,-101.4339148,549.1248,356.9121,0.0033,519.8481,515.3615,136.3656,118.9447
FARMERS COOPERATIVE GIN OF KNOTT TEXAS,"FARMERS COOPERATIVE GIN OF KNOTT TEXAS,HOWARD,TEXAS,USA",32.3967292,-101.6746534,0,0,0.0,0,0,0,0
WTG GAS PROCESSING  LP,"WTG GAS PROCESSING  LP,HOWARD,TEXAS,USA",32.4961976,-101.3515652,90.37,98.67,0.0,20.389,75.562,14.52,14.52
WINGATE GIN CORPORATION,"WINGATE GIN CORPORATION,HOWARD,TEXAS,USA",32.2878603,-101.4810041,0.16,0.19,0.0,0,0.01,2.23,0.16
TOKAI CARBON CB  LTD,"TOKAI CARBON CB  LTD,HOWARD,TEXAS,USA",32.278775,-101.4087249,137.4091,291.664,0.0,3324.0263,28.0346,44.4453,3.9688
BHER POWER RESOURCES INC,"BHER POWER RESOURCES INC,HOWARD,TEXAS,USA",32.2875944,-101.4339148,18.274,349.3616,0.0017,1.7394,3.7424,22.5236,21.7867
ENDURANCE LIFT SOLUTIONS LLC,"ENDURANCE LIFT SOLUTIONS LLC,HOWARD,TEXAS,USA",32.2305679,-101.5109368,0,0,0.0,0,4.78,0.08,0.08
DCP OPERATING COMPANY LP,"DCP OPERATING COMPANY LP,HOWARD,TEXAS,USA",32.2875944,-101.4339148,32.9591,20.372,0.0,0.0742,13.7743,2.4558,2.4558
R2R AND D LLC,"R2R AND D LLC,HOWARD,TEXAS,USA",32.2875944,-101.4339148,0,0,0.0,0,3.389,0.0012,0.0012
WTG GAS PROCESSING LP,"WTG GAS PROCESSING LP,HOWARD,TEXAS,USA",32.4961976,-101.3515652,20.95,20.45,0.0,112.068,29.055,1.65,1.65
TARGA MIDLAND LLC,"TARGA MIDLAND LLC,HOWARD,TEXAS,USA",31.9973456,-102.0779146,115.2558,100.8198,0.0,0.2353,88.282,4.13,4.13
EL PASO NATURAL GAS COMPANY LLC,"EL PASO NATURAL GAS COMPANY LLC,HUDSPETH,TEXAS,USA",31.5707433,-105.5943388,84.0428,287.4086,0.0,4.059,7.2081,7.8818,7.8818
L-3 COMMUNICATIONS INTEGRATED SYSTEMS LP,"L-3 COMMUNICATIONS INTEGRATED SYSTEMS LP,HUNT,TEXAS,USA",31.9685988,-99.9018131,3.0269,3.6034,0.0,0.0904,24.7399,0.2846,0.2846
EXPLORER PIPELINE CO,"EXPLORER PIPELINE CO,HUNT,TEXAS,USA",33.0350443,-96.2013978,0,0,0.0,0,38.9661,0,0
GREENVILLE ELECTRIC UTILITY SYSTEM,"GREENVILLE ELECTRIC UTILITY SYSTEM,HUNT,TEXAS,USA",33.1398034,-96.1072021,16.0276,21.9434,0.0,0.1084,30.0817,11.8029,11.8029
REPUBLIC MALOY LANDFILL & SANITATION INC,"REPUBLIC MALOY LANDFILL & SANITATION INC,HUNT,TEXAS,USA",30.0710434,-99.3379764,7.376,1.74,0.0,0.633,5.9641,13.731,3.741
AGRIUM US INC,"AGRIUM US INC,HUTCHINSON,TEXAS,USA",35.8031909,-101.4339148,41.3715,276.2119,0.0,0.9905,31.2794,90.3741,59.8879
ORION ENGINEERED CARBONS LLC,"ORION ENGINEERED CARBONS LLC,HUTCHINSON,TEXAS,USA",35.6641426,-101.4337332,1511.3153,336.4378,0.0,2610.6491,49.8848,39.4609,28.2813
NATURAL GAS PIPELINE CO OF AMERICA LLC,"NATURAL GAS PIPELINE CO OF AMERICA LLC,HUTCHINSON,TEXAS,USA",35.8031909,-101.4339148,0,0,0.0,0,0.056,0,0
CHEVRON PHILLIPS CHEMICAL COMPANY LP,"CHEVRON PHILLIPS CHEMICAL COMPANY LP,HUTCHINSON,TEXAS,USA",35.6987354,-101.3587303,53.3587,15.5061,0.0,372.2743,149.5941,0.8622,0.7013
TOKAI CARBON CB LTD,"TOKAI CARBON CB LTD,HUTCHINSON,TEXAS,USA",35.66565629999999,-101.4364587,1285.0757,600.4719,0.0,4555.6638,18.2019,116.0543,52.7432
PHILLIPS 66 COMPANY,"PHILLIPS 66 COMPANY,HUTCHINSON,TEXAS,USA",35.8031909,-101.4339148,504.2784,678.7873,0.0076,138.9971,957.9094,93.262,88.8874
IACX ROCK CREEK LLC,"IACX ROCK CREEK LLC,HUTCHINSON,TEXAS,USA",35.6744671,-101.4093534,171.2729,497.9644,0.0,75.9697,43.8244,7.1954,7.1954
BORGER ENERGY ASSOCIATES LP,"BORGER ENERGY ASSOCIATES LP,HUTCHINSON,TEXAS,USA",35.6678203,-101.3973876,55.9,439.9,0.0,60.8,28.1977,60.2,60.2
SOLVAY SPECIALTY POLYMERS USA LLC,"SOLVAY SPECIALTY POLYMERS USA LLC,HUTCHINSON,TEXAS,USA",35.8031909,-101.4339148,15.4374,9.8777,0.0,0.1103,9.2534,1.8,1.7997
ENTERPRISE  PRODUCTS  OPERATING  LLC,"ENTERPRISE  PRODUCTS  OPERATING  LLC,HARRIS,TEXAS,USA",29.7493564,-95.4715705,40.6023,16.2865,0.0,0.1708,69.7355,4.2368,4.2368
STEWART & STEVENSON LLC,"STEWART & STEVENSON LLC,HARRIS,TEXAS,USA",29.7751825,-95.3102505,0.2388,0.979,0.0,0.0021,2.023,0.0345,0.0345
GENESIS PIPELINE TEXAS LP,"GENESIS PIPELINE TEXAS LP,HARRIS,TEXAS,USA",29.7751825,-95.3102505,0,0,0.0,0,11.6233,0,0
WASTE MANAGEMENT OF TEXAS INC,"WASTE MANAGEMENT OF TEXAS INC,HARRIS,TEXAS,USA",29.7751825,-95.3102505,67.77,12.74,0.0,11.98,32.25,51.17,30.77
SPECIALTY CONSTRUCTION BRANDS INC,"SPECIALTY CONSTRUCTION BRANDS INC,HARRIS,TEXAS,USA",29.7751825,-95.3102505,0.0068,0.0081,0.0,0.0001,5.7546,0.0228,0.0227
LYONDELLBASELL ACETYLS LLC,"LYONDELLBASELL ACETYLS LLC,HARRIS,TEXAS,USA",29.7561995,-95.3623983,52.7902,11.2297,0.0,0.2265,149.5791,6.5095,3.6296
AMERICAN ACRYL LP,"AMERICAN ACRYL LP,HARRIS,TEXAS,USA",29.6030022,-95.0202156,2.714,28.364,0.0,13.664,25.767,12.659,12.214
DRAGON PRODUCTS LTD,"DRAGON PRODUCTS LTD,HARRIS,TEXAS,USA",29.7859444,-95.59386219999999,0.7258,0.864,0.0,0,6.9055,0.0662,0.0657
ELLWOOD TEXAS FORGE LP,"ELLWOOD TEXAS FORGE LP,HARRIS,TEXAS,USA",29.632019,-95.4017028,8.3823,11.7171,0.0,0.0601,2.5731,1.5738,1.5088
VALERO MARKETING AND SUPPLY COMPANY,"VALERO MARKETING AND SUPPLY COMPANY,HARRIS,TEXAS,USA",29.7751825,-95.3102505,5.996,5.3478,0.0,0.0433,5.0365,1.8999,1.8999
EIF CHANNELVIEW COGENERATION LLC,"EIF CHANNELVIEW COGENERATION LLC,HARRIS,TEXAS,USA",29.7671221,-95.1210141,279.2321,284.1022,0.0,15.8803,30.8138,134.5282,134.5272
METHODIST  HOSPITAL,"METHODIST  HOSPITAL,HARRIS,TEXAS,USA",29.7099061,-95.3997186,15.7852,20.9623,0.0,2.7076,3.5062,37.3523,5.7308
CHANNEL ENERGY CENTER LLC,"CHANNEL ENERGY CENTER LLC,HARRIS,TEXAS,USA",29.718638,-95.2320671,184.6974,210.8815,0.0003,8.1569,10.734,71.0104,68.7859
FOREMARK PERFORMANCE CHEMICALS INC,"FOREMARK PERFORMANCE CHEMICALS INC,HARRIS,TEXAS,USA",29.6950567,-95.0361411,0,0,0.0,0,12.6682,0.0223,0.0223
TX LFG ENERGY LP,"TX LFG ENERGY LP,HARRIS,TEXAS,USA",29.7481479,-95.37574959999999,26.12,11.41,0.0,0.13,3.42,0.99,0.99
DEER PARK ENERGY CENTER LLC,"DEER PARK ENERGY CENTER LLC,HARRIS,TEXAS,USA",29.7052284,-95.1238204,745.3343,296.5026,0.0,22.4916,48.2971,68.4889,63.371
SEKISUI SPECIALTY CHEMICALS AMERICA LLC,"SEKISUI SPECIALTY CHEMICALS AMERICA LLC,HARRIS,TEXAS,USA",29.7133189,-95.19284619999999,14.1973,24.1209,0.0,1.0789,10.4577,2.2336,1.9876
HEXION INC.,"HEXION INC.,HARRIS,TEXAS,USA",29.78946699999999,-95.656611,9.6161,1.1215,0.0,35.231,49.9296,26.9151,26.9077
JOHNS MANVILLE,"JOHNS MANVILLE,HARRIS,TEXAS,USA",29.7751825,-95.3102505,0,0,0.0,0,3.1926,0,0
TARGA MIDSTREAM SERVICES LLC,"TARGA MIDSTREAM SERVICES LLC,IRION,TEXAS,USA",31.2557696,-100.8903099,86.4915,58.7575,0.0,0.2207,113.0734,4.5198,4.5198
COLT GATHERING NORTH TEXAS LP,"COLT GATHERING NORTH TEXAS LP,JACK,TEXAS,USA",33.0324924,-98.0257231,0.27,0.2804,0.0,0.0022,6.4394,0.713,0.713
WORSHAM-STEED GAS STORAGE LLC,"WORSHAM-STEED GAS STORAGE LLC,JACK,TEXAS,USA",33.0990264,-98.07349269999999,22.5692,80.3351,0.0,0.2426,72.4454,3.6129,3.6129
BRAZOS ELECTRIC POWER COOPERATIVE INC,"BRAZOS ELECTRIC POWER COOPERATIVE INC,JACK,TEXAS,USA",33.2560382,-98.2212979,627.386,204.83,0.0,7.321,6.2529,56.925,55.498
BOARDWALK TEXAS INTRASTATE LLC,"BOARDWALK TEXAS INTRASTATE LLC,JACKSON,TEXAS,USA",29.0338575,-95.4343859,0.088,2.2402,0.0,0.0004,8.0245,0.0261,0.0261
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,JACKSON,TEXAS,USA",29.0338575,-95.4343859,100.403,43.9459,0.0,73.3732,29.1618,9.4486,9.4486
DCP OPERATING COMPANY LP,"DCP OPERATING COMPANY LP,JACKSON,TEXAS,USA",28.9340886,-96.5356449,43.5714,97.1813,0.0,105.6057,21.5646,8.4366,8.4366
WESTROCK TEXAS LP,"WESTROCK TEXAS LP,JASPER,TEXAS,USA",30.9211407,-93.9828545,1343.0816,1664.7117,0.0462,111.5458,316.4738,552.2085,88.4377
TENNESSEE GAS PIPELINE COMPANY LLC,"TENNESSEE GAS PIPELINE COMPANY LLC,JASPER,TEXAS,USA",30.920823,-93.99688119999999,212.5689,612.9612,0.0,0.0299,8.0843,2.4452,2.4452
LOUISIANA-PACIFIC CORPORATION,"LOUISIANA-PACIFIC CORPORATION,JASPER,TEXAS,USA",30.9083228,-93.92043369999999,471.3569,137.8817,0.003,2.741,90.784,46.7479,42.9226
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,JASPER,TEXAS,USA",30.920823,-93.99688119999999,92.8924,55.3603,0.0,0.1901,35.5173,4.8646,4.8646
TOTAL PETROCHEMICALS & REFINING USA INC,"TOTAL PETROCHEMICALS & REFINING USA INC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,343.1877,585.9013,0.0046,356.6301,387.6046,264.2187,263.6487
ALLEGIANT INDUSTRIAL ISLAND PARK LLC,"ALLEGIANT INDUSTRIAL ISLAND PARK LLC,JEFFERSON,TEXAS,USA",29.8165398,-94.15137639999999,0.017,0.0182,0.0,0.0003,2.0087,0.0127,0.0021
LION ELASTOMERS LLC,"LION ELASTOMERS LLC,JEFFERSON,TEXAS,USA",29.985851,-93.9476873,8.8668,23.0862,0.0,1.3332,53.1685,5.1633,4.6004
VEOLIA ES TECHNICAL SOLUTIONS LLC,"VEOLIA ES TECHNICAL SOLUTIONS LLC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,8.0806,127.8148,0.0,0.6877,15.6477,3.8805,3.7752
LDC COMMODITIES BEAUMONT EXPORT ELEVATOR LLC,"LDC COMMODITIES BEAUMONT EXPORT ELEVATOR LLC,JEFFERSON,TEXAS,USA",30.080174,-94.1265562,0,0,0.0,0,0,24.05,4.13
CHEMOURS COMPANY FC LLC,"CHEMOURS COMPANY FC LLC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,0,0,0.0,0,2.602,0,0
GOODYEAR TIRE & RUBBER COMPANY,"GOODYEAR TIRE & RUBBER COMPANY,JEFFERSON,TEXAS,USA",31.9685988,-99.9018131,224.2535,220.6187,0.0,3.3415,665.0045,26.0828,23.6847
OXBOW CALCINING LLC,"OXBOW CALCINING LLC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,42.5286,415.2076,0.1844,9227.1602,3.258,183.286,98.3091
PREMCOR REFINING GROUP INC,"PREMCOR REFINING GROUP INC,JEFFERSON,TEXAS,USA",29.9547455,-93.9680137,642.5374,689.8227,0.0407,321.2054,793.5385,225.9756,182.0286
VALERO PARTNERS LUCAS LLC,"VALERO PARTNERS LUCAS LLC,JEFFERSON,TEXAS,USA",30.1256215,-94.1231452,0.139,0.1129,0.0,0.0152,22.6733,0.0066,0.0066
INDORAMA VENTURES OXIDES LLC,"INDORAMA VENTURES OXIDES LLC,JEFFERSON,TEXAS,USA",31.9685988,-99.9018131,272.9029,522.536,0.0027,6.7928,196.7878,67.6253,60.2375
EXXONMOBIL OIL CORPORATION,"EXXONMOBIL OIL CORPORATION,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,380.8919,724.3247,0.0384,5.6479,149.4683,146.3667,119.8143
EXXONMOBIL OIL CORP,"EXXONMOBIL OIL CORP,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,186.9755,86.3148,0.0,0.4274,441.7625,23.4178,17.8526
SUNOCO PIPELINE LP,"SUNOCO PIPELINE LP,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,0.1177,0.0549,0.0,0.0005,32.2916,0.0019,0.0019
CHEMTRADE REFINERY SERVICES INC,"CHEMTRADE REFINERY SERVICES INC,JEFFERSON,TEXAS,USA",30.0439599,-94.0681869,0.2446,62.1737,0.0002,24.5089,1.6757,0.128,0.1225
ARKEMA INC,"ARKEMA INC,JEFFERSON,TEXAS,USA",30.060093,-94.058499,67.0781,62.1201,0.0,322.2015,8.3953,12.4423,3.6011
SUNOCO PARTNERS MARKETING & TERMINALS LP,"SUNOCO PARTNERS MARKETING & TERMINALS LP,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,29.289,25.6404,0.0,8.4346,262.1658,2.581,1.8479
MOTIVA ENTERPRISES LLC,"MOTIVA ENTERPRISES LLC,JEFFERSON,TEXAS,USA",29.8885998,-93.95101030000001,0.0878,0.3209,0.0,0.0196,17.0304,0.0221,0.0221
ENTERPRISE REFINED PRODUCTS COMPANY LLC,"ENTERPRISE REFINED PRODUCTS COMPANY LLC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,9.9159,8.9235,0.0,0.0651,192.7852,0.6123,0.6123
COLONIAL PIPELINE COMPANY,"COLONIAL PIPELINE COMPANY,JEFFERSON,TEXAS,USA",29.9583821,-94.0446046,0.0343,0.037,0.0,0.0119,12.9613,0.007,0.0044
PHILLIPS 66 PIPELINE LLC,"PHILLIPS 66 PIPELINE LLC,JEFFERSON,TEXAS,USA",31.9685988,-99.9018131,5.4208,3.1028,0.0,2.2857,128.3983,0.1989,0.1602
BASF CORPORATION,"BASF CORPORATION,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,27.6243,46.032,0.0,0.2603,36.4556,4.1734,4.1701
CHEVRON PHILLIPS CHEMICAL COMPANY LP,"CHEVRON PHILLIPS CHEMICAL COMPANY LP,JEFFERSON,TEXAS,USA",29.8504199,-93.97626489999999,3.2611,1.6336,0.0,0.0462,2.19,0,0
MOTIVA CHEMICALS LLC,"MOTIVA CHEMICALS LLC,JEFFERSON,TEXAS,USA",29.9021164,-93.96531449999999,598.3352,693.2912,0.0,8.8298,162.2142,74.7389,73.6105
TOTAL PETROCHEMICALS & REFINING USA INC.,"TOTAL PETROCHEMICALS & REFINING USA INC.,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,0,0,0.0,0,8.8201,0,0
EXPLORER PIPELINE CO,"EXPLORER PIPELINE CO,JEFFERSON,TEXAS,USA",29.8967801,-94.0053531,0,0,0.0,0,3.5867,0,0
SUEZ WTS USA INC,"SUEZ WTS USA INC,JEFFERSON,TEXAS,USA",31.9685988,-99.9018131,3.7505,4.5472,0.0,0.6695,12.8344,2.244,2.1175
UNITED STATES DEPARTMENT OF ENERGY,"UNITED STATES DEPARTMENT OF ENERGY,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,0.0403,0.1797,0.0,0.0049,10.1747,0.008,0.008
UCAR PIPELINE INC,"UCAR PIPELINE INC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,0.3846,0.1932,0.0,0,3.7448,0,0
DCP OPERATING COMPANY  LP,"DCP OPERATING COMPANY  LP,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,10.4124,11.9272,0.0,15.705,8.3366,0.8045,0.8045
CITY OF BEAUMONT,"CITY OF BEAUMONT,JEFFERSON,TEXAS,USA",30.080174,-94.1265562,0.16,0.729,0.0,0.048,8.486,9.187,3.097
VALERO PARTNERS PAPS LLC,"VALERO PARTNERS PAPS LLC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,0.0478,0.0388,0.0,0.0052,30.6518,0.0022,0.0022
KMTEX LLC,"KMTEX LLC,JEFFERSON,TEXAS,USA",29.8273084,-93.96379499999999,19.4067,12.0176,0.0,0.1548,33.9687,1.9986,1.9986
NECHES RIVER TREATMENT CORP,"NECHES RIVER TREATMENT CORP,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,0,0,0.0,0,5.1334,0,0
OCI BEAUMONT LLC,"OCI BEAUMONT LLC,JEFFERSON,TEXAS,USA",30.01221709999999,-94.03150699999999,74.0358,49.0553,0.0,0.1523,53.3039,20.6765,2.638
PAPCO INC,"PAPCO INC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,38.6575,21.1418,0.0,0.0099,39.0518,0.2486,0.0973
AIR LIQUIDE LARGE INDUSTRIES US LP,"AIR LIQUIDE LARGE INDUSTRIES US LP,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,2.18,2.59,0.0,0.02,0.14,4.72,0.2032
LOWER NECHES VALLEY AUTHORITY,"LOWER NECHES VALLEY AUTHORITY,JEFFERSON,TEXAS,USA",30.1404498,-94.1738455,40.3335,27.4559,0.0,0.0314,1.5556,0.9692,0.9692
MITSUBISHI CHEMICAL AMERICA INC,"MITSUBISHI CHEMICAL AMERICA INC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,38.6606,248.9863,0.0,236.391,24.3849,11.4065,7.8299
GOLDEN TRIANGLE LANDFILL TX LP,"GOLDEN TRIANGLE LANDFILL TX LP,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,39.58,7.62,0.0,1.66,25.0183,13.2603,8.3201
CUSTOM BLAST SERVICES INC,"CUSTOM BLAST SERVICES INC,JEFFERSON,TEXAS,USA",29.972878,-94.03007989999999,2.8046,13.0191,0.0,0.8561,8.7542,0.9602,0.9602
AIR PRODUCTS LLC,"AIR PRODUCTS LLC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,58.6079,143.2559,0.0,50.5795,25.1096,88.2509,87.1316
BASF TOTAL PETROCHEMICALS LLC,"BASF TOTAL PETROCHEMICALS LLC,JEFFERSON,TEXAS,USA",29.9530063,-93.8851201,482.8255,494.1746,0.0066,5.5512,320.4308,69.1879,58.6614
LINDE INC,"LINDE INC,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,11.8208,14.17,0.0,0.1,3.6386,14.86,14.86
TPC GROUP LLC,"TPC GROUP LLC,JEFFERSON,TEXAS,USA",29.8165398,-94.15137639999999,54.1482,162.321,0.0,12.452,64.5459,10.0407,9.6504
DOW CHEMICAL COMPANY,"DOW CHEMICAL COMPANY,JEFFERSON,TEXAS,USA",32.7573626,-94.34519259999999,14.9492,9.7661,0.0,0.0225,4.4318,0.0468,0.0468
NATGASOLINE LLC,"NATGASOLINE LLC,JEFFERSON,TEXAS,USA",30.0323012,-94.05154809999999,215.3878,85.0707,0.0,3.9124,36.0972,25.2921,21.4948
ENTERPRISE HYDROCARBONS LP,"ENTERPRISE HYDROCARBONS LP,JIM HOGG,TEXAS,USA",26.995506,-98.7481167,22.5359,94.3118,0.0,3.3642,7.7721,6.9767,6.9767
JOHNS MANVILLE SALES CORP,"JOHNS MANVILLE SALES CORP,JOHNSON,TEXAS,USA",32.3875508,-97.39555759999999,327.9054,39.0715,0.0002,19.8696,127.1567,171.2603,168.319
TEXAS LIME COMPANY,"TEXAS LIME COMPANY,JOHNSON,TEXAS,USA",32.2444664,-97.5522975,123.3627,547.4362,0.0002,34.3767,4.0867,80.4552,25.8517
BRAZOS ELECTRIC POWER COOPERATIVE INC,"BRAZOS ELECTRIC POWER COOPERATIVE INC,JOHNSON,TEXAS,USA",32.4133566,-97.35165579999999,60.646,126.496,0.0,2.365,11.8865,26.157,24.74
JAMES HARDIE BUILDING PRODUCTS,"JAMES HARDIE BUILDING PRODUCTS,JOHNSON,TEXAS,USA",32.4029159,-97.4053649,3.254,12.9814,0.0,0.2271,22.7576,20.2961,14.6679
TECHNICAL CHEMICAL CO,"TECHNICAL CHEMICAL CO,JOHNSON,TEXAS,USA",32.3946609,-97.3952178,0.035,0.0028,0.0,0.0028,14.9231,0.035,0.035
TEXAS REGIONAL LANDFILL COMPANY LP,"TEXAS REGIONAL LANDFILL COMPANY LP,JOHNSON,TEXAS,USA",30.2767408,-98.41198109999999,1.4005,0.2608,0.0,0.5,12.6401,9.5261,5.3621
TEXAS MIDSTREAM GAS SERVICES LLC,"TEXAS MIDSTREAM GAS SERVICES LLC,JOHNSON,TEXAS,USA",33.2267618,-102.4635269,24.03,18.29,0.0,0.17,5.392,3.08,3.08
ENERGY TRANSFER FUEL LP,"ENERGY TRANSFER FUEL LP,JOHNSON,TEXAS,USA",32.4133566,-97.35165579999999,12.8131,43.845,0.0,0.1787,33.2491,3.0756,3.0756
ENERVEST OPERATING LLC,"ENERVEST OPERATING LLC,JOHNSON,TEXAS,USA",31.9685988,-99.9018131,4.2719,21.7663,0.0,0,24.4204,2.4174,2.4174
JOHNSON COUNTY PIPE INC,"JOHNSON COUNTY PIPE INC,JOHNSON,TEXAS,USA",32.4133566,-97.35165579999999,0,0,0.0,0,2.5177,0.0371,0.0371
SWG PIPELINE LLC,"SWG PIPELINE LLC,JOHNSON,TEXAS,USA",33.2267618,-102.4635269,6.511,4.6896,0.0,0.0658,1.6934,1.6385,1.6385
