COMPANY,ADDRESS,LATITUDE,LONGITUDE,CO TPY,NOX TPY,Pb TPY,SO2 TPY,VOC TPY,PM10 TPY,PM2.5 TPY
ENTERPRISE HYDROCARBONS LP,"ENTERPRISE HYDROCARBONS LP,BEXAR,TEXAS,USA",29.4200763,-98.5721016,11.8946,108.3759,0.0,0.9429,2.5984,1.9665,1.9665
US DEPT OF AIR FORCE,"US DEPT OF AIR FORCE,BEXAR,TEXAS,USA",29.4200763,-98.5721016,18.6249,18.6185,0.015,0.3377,10.2062,2.2835,1.9872
EXXONMOBIL PIPELINE COMPANY,"EXXONMOBIL PIPELINE COMPANY,BEXAR,TEXAS,USA",29.4200763,-98.5721016,0,0,0.0,0,24.54,0.0394,0.0394
CITGO PETROLEUM CORPORATION,"CITGO PETROLEUM CORPORATION,BEXAR,TEXAS,USA",29.4345153,-98.39689229999999,0,0,0.0,0,26.8696,0,0
THE SAN ANTONIO REFINERY LLC,"THE SAN ANTONIO REFINERY LLC,BEXAR,TEXAS,USA",29.3451628,-98.4434807,50.023,38.5661,0.0,7.1613,80.8671,5.1805,5.179
MOTIVA ENTERPRISES LLC,"MOTIVA ENTERPRISES LLC,BEXAR,TEXAS,USA",29.4200763,-98.5721016,0.3545,0.1418,0.0,0,27.822,0.0058,0.0058
NELSON GARDENS ENERGY LLC,"NELSON GARDENS ENERGY LLC,BEXAR,TEXAS,USA",29.3251113,-98.66219319999999,62.9868,11.26,0.0,5.9528,10.179,0.716,0.716
ALAMO CEMENT COMPANY,"ALAMO CEMENT COMPANY,BEXAR,TEXAS,USA",29.6107,-98.373277,419.86,2111.4,0.0016,3.4699,47.4976,82.7284,25.8853
SOUTHWEST RESEARCH INSTITUTE,"SOUTHWEST RESEARCH INSTITUTE,BEXAR,TEXAS,USA",29.4521256,-98.6102811,38.5402,66.756,0.0,5.0156,54.3685,1.2268,1.2268
TJ TEXAS INC,"TJ TEXAS INC,BEXAR,TEXAS,USA",29.4200763,-98.5721016,1.7979,4.42,0.0,0.654,7.2089,0.268,0.268
FLINT HILLS RESOURCES CORPUS CHRISTI LLC,"FLINT HILLS RESOURCES CORPUS CHRISTI LLC,BEXAR,TEXAS,USA",27.8005828,-97.39638099999999,0.9635,0.386,0.0,0,22.3569,0,0
INTERTEK AUTOMOTIVE RESEARCH,"INTERTEK AUTOMOTIVE RESEARCH,BEXAR,TEXAS,USA",29.4793421,-98.59236489999999,64.0436,31.7227,0.0,2.1702,5.5333,0.4165,0.4165
ARCONIC TECHNOLOGIES LLC,"ARCONIC TECHNOLOGIES LLC,BEXAR,TEXAS,USA",29.274125,-98.368138,0.3542,0.4979,0.0,0.0092,0.0392,0.0374,0.0374
WIN SAM INC,"WIN SAM INC,BEXAR,TEXAS,USA",29.4200763,-98.5721016,7.1693,4.7701,0.0,0.1028,0.5981,19.714,0.8018
BFI WASTE SYSTEMS OF NORTH AMERICA INC,"BFI WASTE SYSTEMS OF NORTH AMERICA INC,BEXAR,TEXAS,USA",29.3814225,-98.391533,60.24,18.07,0.0,39.36,24.3649,59.272,35.751
FLOWERS BAKING CO OF SAN ANTONIO LLC,"FLOWERS BAKING CO OF SAN ANTONIO LLC,BEXAR,TEXAS,USA",29.4651521,-98.4034049,4.2839,5.2078,0.0,0.0719,6.6107,0.5346,0.4905
WASTE MANAGEMENT OF TEXAS INC,"WASTE MANAGEMENT OF TEXAS INC,BEXAR,TEXAS,USA",29.4200763,-98.5721016,142.0531,28.2994,0.0,49.2738,29.389,41.4333,18.4425
BOEING COMPANY,"BOEING COMPANY,BEXAR,TEXAS,USA",29.4200763,-98.5721016,1.0244,1.3602,0.0,0.0568,43.9705,0.0571,0.0571
STANDARD AERO SAN ANTONIO INC,"STANDARD AERO SAN ANTONIO INC,BEXAR,TEXAS,USA",29.37823539999999,-98.5713494,1.0987,1.629,0.0,0.0359,21.0165,0.8024,0.7932
NATIONS CABINETRY LLC,"NATIONS CABINETRY LLC,BEXAR,TEXAS,USA",29.4061698,-98.5793821,6.1176,7.2829,0.0,0.0438,26.0311,2.9041,2.9036
BIO ENERGY AUSTIN LLC,"BIO ENERGY AUSTIN LLC,BEXAR,TEXAS,USA",30.267153,-97.7430608,131.77,72.7,0.0,3.89,1.304,2.3,2.3
UNITED SERVICES AUTOMOBILE ASSOCIATION,"UNITED SERVICES AUTOMOBILE ASSOCIATION,BEXAR,TEXAS,USA",29.4200763,-98.5721016,6.6702,10.4902,0.0,0.0148,0.9507,2.6276,2.6276
BIO ENERGY TEXAS LLC,"BIO ENERGY TEXAS LLC,BEXAR,TEXAS,USA",29.4200763,-98.5721016,251.75,44.61,0.0,13.63,17.6586,18.24,18.24
TOYOTA MOTOR MANUFACTURING TEXAS INC,"TOYOTA MOTOR MANUFACTURING TEXAS INC,BEXAR,TEXAS,USA",29.2624841,-98.54106639999999,8.7506,11.3969,0.0,0.1247,312.1124,20.375,7.7963
TOYODA GOSEI TEXAS LLC,"TOYODA GOSEI TEXAS LLC,BEXAR,TEXAS,USA",29.2588273,-98.5361983,8.4499,10.0575,0.0,0.0608,58.9461,0.77,0.77
AVANZAR INTERIOR TECHNOLOGIES LTD,"AVANZAR INTERIOR TECHNOLOGIES LTD,BEXAR,TEXAS,USA",29.25715,-98.54364799999999,0,0,0.0,0,35.071,0.01,0.01
